bond,Atom1,Atom2,confident_prediction,Rcov_sum,delta,R0_estimated,R0_empirical,B
Bi_He,Bi,He,0,1.76,-0.06064838399688793,1.820648383996888,,
S_N,S,N,1,1.76,0.0281063309597156,1.731893669040284,1.7022,0.37
As_F,As,F,1,1.76,0.07485067948708587,1.685149320512914,1.66,0.37
Ru_H,Ru,H,1,1.77,0.169675051086208,1.600324948913792,1.61,0.37
Pb_H,Pb,H,1,1.77,-0.1696173023530581,1.939617302353058,1.97,0.37
Ar_N,Ar,N,0,1.77,-0.07379683265302278,1.843796832653023,,
Si_O,Si,O,1,1.77,0.1157648967527277,1.654235103247272,1.628666666666667,0.3699999999999999
Ge_F,Ge,F,1,1.77,0.1021471541709848,1.667852845829015,1.66,0.37
Se_F,Se,F,1,1.77,0.04840677616299457,1.721593223837006,1.71,0.37
Br_F,Br,F,1,1.77,0.03944881913376341,1.730551180866237,1.72,0.37
As_Ne,As,Ne,0,1.77,0.07569159637669406,1.694308403623306,,
Tc_H,Tc,H,1,1.78,0.1778896313946694,1.602110368605331,,
Mn_He,Mn,He,0,1.78,0.3515303169028319,1.428469683097168,,
At_He,At,He,0,1.78,-0.1849791367657906,1.964979136765791,,
Rn_He,Rn,He,0,1.78,-0.05891869783989412,1.838918697839894,,
S_C,S,C,1,1.78,-0.02526343835237216,1.805263438352372,1.82,0.37
P_N,P,N,1,1.78,0.02976749457161493,1.750232505428385,1.717,0.37
Al_F,Al,F,1,1.78,0.2115891582732936,1.568410841726706,1.545,0.37
Ge_Ne,Ge,Ne,0,1.78,0.102988071060593,1.677011928939407,,
Se_Ne,Se,Ne,0,1.78,0.04924769305260288,1.730752306947397,,
Br_Ne,Br,Ne,0,1.78,0.04028973602337171,1.739710263976628,,
Bi_H,Bi,H,1,1.79,-0.171111119747083,1.961111119747083,1.97,0.37
Re_He,Re,He,0,1.79,0.1963487939174119,1.593651206082588,,
C_Ar,C,Ar,0,1.79,0.0133284789428767,1.776671521057123,,
Zn_F,Zn,F,1,1.79,0.1725260173318547,1.617473982668145,1.62,0.37
Ga_F,Ga,F,1,1.79,0.1630279189688641,1.626972081031136,1.62,0.37
Al_Ne,Al,Ne,0,1.79,0.2124300751629019,1.577569924837098,,
Be_B,Be,B,1,1.8,0.2962816904154348,1.503718309584565,,
P_C,P,C,1,1.8,-0.02706787669384236,1.827067876693842,1.89,0.37
Zn_Ne,Zn,Ne,0,1.8,0.1733669342214628,1.626633065778537,,
Ga_Ne,Ga,Ne,0,1.8,0.1638688358584723,1.636131164141527,,
Mn_H,Mn,H,1,1.81,0.2694866158953924,1.540513384104608,1.55,0.37
At_H,At,H,1,1.81,-0.1815018335117237,1.991501833511724,,
Rn_H,Rn,H,0,1.81,-0.1031541356638755,1.913154135663876,,
V_He,V,He,0,1.81,0.3449797010355942,1.465020298964406,,
Ni_F,Ni,F,1,1.81,0.232312511991506,1.577687488008494,1.596,0.37
Re_H,Re,H,1,1.82,0.107390878149285,1.712609121850715,1.75,0.37
Mo_He,Mo,He,0,1.82,0.2429607158723033,1.577039284127697,,
Si_N,Si,N,1,1.82,0.05089152198328462,1.769108478016715,1.747,0.37
Kr_O,Kr,O,0,1.82,-0.08603968629784198,1.906039686297842,,
Ni_Ne,Ni,Ne,0,1.82,0.2331534288811142,1.586846571118886,,
V_H,V,H,1,1.84,0.2447250471105921,1.595274952889408,1.58,0.37
Si_C,Si,C,1,1.84,0.01122742822115241,1.828772571778848,1.883,0.37
Mo_H,Mo,H,1,1.85,0.1420907843570609,1.707909215642939,1.73,0.37
Li_F,Li,F,1,1.85,0.4688220269911266,1.381177973008874,1.36,0.37
As_O,As,O,1,1.85,0.08391939559197018,1.76608060440803,1.778,0.37
Li_Ne,Li,Ne,0,1.86,0.4676794547620003,1.392320545237999,,
B_Cl,B,Cl,1,1.86,0.1070961314732334,1.752903868526766,1.74,0.37
Ge_O,Ge,O,1,1.86,0.1070483740550502,1.75295162594495,1.748,0.37
Se_O,Se,O,1,1.86,0.06456636371682642,1.795433636283174,1.7995,0.37
Br_O,Br,O,1,1.86,0.05582939250885224,1.804170607491148,1.81,0.37
Kr_N,Kr,N,0,1.87,-0.0931002189124801,1.96310021891248,,
Al_O,Al,O,1,1.87,0.2143530371906061,1.655646962809394,1.651,0.37
Ti_He,Ti,He,0,1.88,0.3758621052404733,1.504137894759527,,
Zn_O,Zn,O,1,1.88,0.1929185064421434,1.687081493557856,1.704,0.37
Ga_O,Ga,O,1,1.88,0.1624875527546853,1.717512447245315,1.73,0.37
B_S,B,S,1,1.89,0.07329800625727434,1.816701993742726,1.8175,0.37
C_Kr,C,Kr,0,1.89,0.05231665517394371,1.837683344826056,,
Cu_F,Cu,F,1,1.89,0.2973446292371902,1.59265537076281,1.597,0.37
Hg_F,Hg,F,1,1.89,0.02577333562982631,1.864226664370174,1.855,0.37
W_He,W,He,0,1.9,0.2678524380316609,1.632147561968339,,
B_Ar,B,Ar,0,1.9,0.1198041252911814,1.780195874708818,,
As_N,As,N,1,1.9,0.02217276945599644,1.877827230544003,,
Ni_O,Ni,O,1,1.9,0.252731773003365,1.647268226996635,1.662,0.37
Cu_Ne,Cu,Ne,0,1.9,0.2981855461267984,1.601814453873202,,
Hg_Ne,Hg,Ne,0,1.9,0.02761423846877731,1.872385761531222,,
Ti_H,Ti,H,1,1.91,0.2684688682124264,1.641531131787574,1.61,0.37
B_P,B,P,1,1.91,0.01581970608294209,1.894180293917058,1.9,0.37
Ge_N,Ge,N,1,1.91,0.0420294767420154,1.867970523257985,1.88,0.37
Se_N,Se,N,1,1.91,0.01395135476294762,1.896048645237052,,
Br_N,Br,N,1,1.91,0.02646872518985971,1.88353127481014,,
Nb_He,Nb,He,0,1.92,0.2956192854640926,1.624380714535907,,
Be_Be,Be,Be,0,1.92,0.2532543867152831,1.666745613284717,,
As_C,As,C,1,1.92,-0.02375915270126383,1.943759152701264,1.96,0.37
Al_N,Al,N,1,1.92,0.1504713252269904,1.769528674773009,1.79,0.37
W_H,W,H,1,1.93,0.1745474115585524,1.755452588441448,1.76,0.37
Ge_C,Ge,C,1,1.93,0.01371158427001307,1.916288415729987,,
Se_C,Se,C,1,1.93,-0.02233304934063757,1.952333049340637,1.97,0.37
C_Br,C,Br,1,1.93,0.04195096461280273,1.888049035387197,1.9,0.37
Zn_N,Zn,N,1,1.93,0.1784019700271667,1.751598029972833,1.77,0.37
Ga_N,Ga,N,1,1.93,0.09781091235592809,1.832189087644072,1.84,0.37
Pt_F,Pt,F,1,1.93,0.2255035487912863,1.704496451208714,1.7195,0.37
Au_F,Au,F,1,1.93,0.1728477147141082,1.757152285285892,1.81,0.37
Na_He,Na,He,0,1.94,0.4070664780684158,1.532933521931584,,
Li_O,Li,O,1,1.94,0.4627146357306785,1.477285364269322,1.466,0.37
Al_C,Al,C,1,1.94,0.1337489768832819,1.806251023116718,,
Pt_Ne,Pt,Ne,0,1.94,0.2273444516302372,1.712655548369763,,
Au_Ne,Au,Ne,0,1.94,0.1746886175530592,1.765311382446941,,
Nb_H,Nb,H,1,1.95,0.1972032103814924,1.752796789618507,1.75,0.37
Si_B,Si,B,1,1.95,0.1616264323859896,1.788373567614011,,
Zn_C,Zn,C,1,1.95,0.188059654654273,1.761940345345727,,
Ga_C,Ga,C,1,1.95,0.07644043772251369,1.873559562277486,,
Ni_N,Ni,N,1,1.95,0.2309304186226953,1.719069581377305,1.709333333333333,0.3699999999999999
Co_F,Co,F,1,1.95,0.3340095532573975,1.615990446742602,1.63,0.37
Te_F,Te,F,1,1.95,0.03957384973697903,1.910426150263021,1.845,0.37
Bk_He,Bk,He,0,1.96,0.2121264492086886,1.747873550791311,,
Cf_He,Cf,He,0,1.96,0.2346185792173351,1.725381420782665,,
Cr_F,Cr,F,1,1.96,0.3206252147049041,1.639374785295096,1.67675,0.37
Pd_F,Pd,F,1,1.96,0.2588132790832938,1.701186720916706,1.74,0.37
